"Product Name",total_revenue
"UGen Ultra Professional Cordless Optical Suite",28415.69
"Multimedia Mailers",18886.04
"TypeRight Side-Opening Peel & Seel Expanding Envelopes",12592.84
"TechSavi Access Keyboard",4436.26
"TechSavi Cordless Elite Duo",4371.54
"UGen Ultra Cordless Optical Suite",4110.84
"Artisan Printable Repositionable Plastic Tabs",3305.87
"HFX LaserJet 3310 Copier",2761.25
"Ames Color-File Green Diamond Border X-ray Mailers",2692.15
"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",1999.66
